Player,Market Value
Ezri Konsa,€40.00m
Francisco Trincão,€40.00m
Ismaïla Sarr,€40.00m
Ademola Lookman,€40.00m
Boubacar Kamara,€40.00m
Diogo Costa,€40.00m
Trevoh Chalobah,€40.00m
Christoph Baumgartner,€40.00m
Scott McTominay,€40.00m
Christian Pulisic,€40.00m
Marcus Rashford,€40.00m
Gregor Kobel,€40.00m
Rodrigo Mora,€38.00m
Vitor Roque,€38.00m
Giorgio Scalvini,€38.00m
Khéphren Thuram,€38.00m
Joaquín Panichelli,€35.00m
Konstantinos Karetsas,€35.00m
Patrick Dorgu,€35.00m
Finn Jeltsch,€35.00m
Archie Gray,€35.00m
Marco Palestra,€35.00m
Ethan Nwaneri,€35.00m
Habib Diarra,€35.00m
Lucas Bergvall,€35.00m
Marc Pubill,€35.00m
Ange-Yoan Bonny,€35.00m
Dango Ouattara,€35.00m
Mika Godts,€35.00m
Savinho,€35.00m
Milos Kerkez,€35.00m
Noah Sadiki,€35.00m
Matias Fernandez-Pardo,€35.00m
Evanilson,€35.00m
Gerard Martín,€35.00m
Matías Soulé,€35.00m
Máximo Perrone,€35.00m
Yasin Ayari,€35.00m
Bilal El Khannouss,€35.00m
Igor Paixão,€35.00m
Malo Gusto,€35.00m
Maxi Araújo,€35.00m
Edmond Tapsoba,€35.00m
Pedro Porro,€35.00m
Fisnik Asllani,€35.00m
Bremer,€35.00m
Senne Lammens,€35.00m
Jacob Ramsey,€35.00m
Jeremie Frimpong,€35.00m
Kiernan Dewsbury-Hall,€35.00m
Crysencio Summerville,€35.00m
Kevin Schade,€35.00m
Estéban Lepaul,€35.00m
Curtis Jones,€35.00m
Jakub Kiwior,€35.00m
Dávid Hancko,€35.00m
Evan Ndicka,€35.00m
Ferdi Kadıoğlu,€35.00m
Sven Botman,€35.00m
Dušan Vlahović,€35.00m
Mile Svilar,€35.00m
Frenkie de Jong,€35.00m
Brahim Díaz,€35.00m
Bruno Fernandes,€35.00m
Joshua Kimmich,€35.00m
Joel Ordóñez,€33.00m
Antonio Nusa,€32.00m
Santiago Castro,€32.00m
Danilo,€32.00m
Aleksandar Stanković,€32.00m
Alan Varela,€32.00m
Yegor Yarmolyuk,€32.00m
Pierre Kalulu,€32.00m
Anthony Elanga,€32.00m
Sepp van den Berg,€32.00m
Hayden Hackney,€32.00m
Conor Gallagher,€32.00m
Lucas Paquetá,€32.00m
Harvey Barnes,€32.00m
Dan Ndoye,€32.00m
Moise Kean,€32.00m
Serhou Guirassy,€32.00m
Konrad Laimer,€32.00m
Jesús Rodríguez,€30.00m
Max Dowman,€30.00m
Ibrahim Mbaye,€30.00m
Rio Ngumoha,€30.00m
Ayden Heaven,€30.00m
Honest Ahanor,€30.00m
Assane Diao,€30.00m
Marc Bernal,€30.00m
Vitor Reis,€30.00m
Rômulo,€30.00m
Jacobo Ramón,€30.00m
Mikel Jauregizar,€30.00m
Thierno Barry,€30.00m
Víctor Muñoz,€30.00m
Gonzalo García,€30.00m
Niccolò Pisilli,€30.00m
Robin Risser,€30.00m
Malick Fofana,€30.00m
Omari Hutchinson,€30.00m
Georges Mikautadze,€30.00m
Gabri Veiga,€30.00m
Jamie Gittens,€30.00m
Andreas Schjelderup,€30.00m
Leon Avdullahu,€30.00m
Adrien Truffert,€30.00m
Gavi,€30.00m
Ricardo Pepi,€30.00m
Tyler Morton,€30.00m
Mario Gila,€30.00m
Rodrigo Zalazar,€30.00m
Martin Baturina,€30.00m
Pape Matar Sarr,€30.00m
Yéremy Pino,€30.00m
Destiny Udogie,€30.00m
Mateo Retegui,€30.00m
Gonçalo Ramos,€30.00m
Barış Alper Yılmaz,€30.00m
Mikkel Damsgaard,€30.00m
Georginio Rutter,€30.00m
Jonathan David,€30.00m
Tomás Araújo,€30.00m
Francisco Conceição,€30.00m
Ian Maatsen,€30.00m
Djed Spence,€30.00m
Brian Brobbey,€30.00m
Brennan Johnson,€30.00m
Nathan Collins,€30.00m
Malik Tillman,€30.00m
Marco Carnesecchi,€30.00m
Charles De Ketelaere,€30.00m
Nikola Krstović,€30.00m
Luis Suárez,€30.00m
Jean-Philippe Mateta,€30.00m
Ethan Ampadu,€30.00m
Callum Hudson-Odoi,€30.00m
Alessandro Buongiorno,€30.00m
Diogo Dalot,€30.00m
Fabián Ruiz,€30.00m
Ben White,€30.00m
Jonathan Burkardt,€30.00m
Weston McKennie,€30.00m
Matthijs de Ligt,€30.00m
Matvey Safonov,€30.00m
Jarrod Bowen,€30.00m
David Raya,€30.00m
Youri Tielemans,€30.00m
El Hadji Malick Diouf,€28.00m
Karim Coulibaly,€28.00m
Jaydee Canvot,€28.00m
Hugo Larsson,€28.00m
Assan Ouédraogo,€28.00m
Jack Hinshelwood,€28.00m
Maxime Estève,€28.00m
Alisson Santos,€28.00m
Alejandro Garnacho,€28.00m
Aleksey Batrakov,€28.00m
Rico Lewis,€28.00m
Brajan Gruda,€28.00m
Jonathan Rowe,€28.00m
Oscar Bobb,€28.00m
Robin Roefs,€28.00m
Enzo Le Fée,€28.00m
Matteo Ruggeri,€28.00m
Liam Delap,€28.00m
William Osula,€28.00m
Chris Richards,€28.00m
Kang-in Lee,€28.00m
Zeno Debast,€28.00m
Dilane Bakwa,€28.00m
Taty Castellanos,€28.00m
Neco Williams,€28.00m
Giorgi Mamardashvili,€28.00m
Wesley Fofana,€28.00m
Djordje Petrovic,€28.00m
João Félix,€28.00m
Calvin Bassey,€28.00m
Amine Gouiri,€28.00m
Nikola Milenković,€28.00m
Anton Stach,€28.00m
Caoimhín Kelleher,€28.00m
Vangelis Pavlidis,€28.00m
Dean Henderson,€28.00m
Dominic Solanke,€28.00m
Jonathan Tah,€28.00m
Marquinhos,€28.00m
Nathan De Cat,€27.00m
Gabriel Sara,€27.00m
Mattéo Guendouzi,€27.00m
Tylel Tati,€25.00m
Oskar Pietuszewski,€25.00m
Giovanni Leoni,€25.00m
Vasilije Kostov,€25.00m
Charalampos Kostoulas,€25.00m
Jon Martín,€25.00m
Josh King,€25.00m
William Gomes,€25.00m
Josh Acheampong,€25.00m
Givairo Read,€25.00m
Diego Gómez,€25.00m
Gustavo Sá,€25.00m
Christos Mouzakitis,€25.00m
Chris Rigg,€25.00m
Jean-Mattéo Bahoya,€25.00m
Lewis Miley,€25.00m
Ismaël Koné,€25.00m
Kevin,€25.00m
Kees Smit,€25.00m
Arthur Atta,€25.00m
José Manuel López,€25.00m
Javi Guerra,€25.00m
Mike Penders,€25.00m
Renato Veiga,€25.00m
André,€25.00m
Chemsdine Talbi,€25.00m
Richard Ríos,€25.00m
Natan,€25.00m
Tyrick Mitchell,€25.00m
Ernest Poku,€25.00m
Nicolò Tresoldi,€25.00m
Jon Gorrotxategi,€25.00m
Carlos Romero,€25.00m
Geny Catamo,€25.00m
Tarik Muharemović,€25.00m
Konstantinos Koulierakis,€25.00m
Julio Enciso,€25.00m
Samson Baidoo,€25.00m
Diego Moreira,€25.00m
Hákon Arnar Haraldsson,€25.00m
Matvey Kislyak,€25.00m
António Silva,€25.00m
Keane Lewis-Potter,€25.00m
Yeremay Hernández,€25.00m
Conor Bradley,€25.00m
Georgiy Sudakov,€25.00m
Kaio Jorge,€25.00m
Ardon Jashari,€25.00m
Charlie Cresswell,€25.00m
Arnaud Kalimuendo,€25.00m
Albian Hajdari,€25.00m
Oihan Sancet,€25.00m
Enzo Millot,€25.00m
James Trafford,€25.00m
Emmanuel Emegha,€25.00m
Troy Parrott,€25.00m
Nathan Ngoy,€25.00m
Anatoliy Trubin,€25.00m
Noah Atubolu,€25.00m
Anastasios Douvikas,€25.00m
Eduard Spertsyan,€25.00m
Evann Guessand,€25.00m
Manuel Ugarte,€25.00m
Kenneth Taylor,€25.00m
Marcos Senesi,€25.00m
Bafodé Diakité,€25.00m
Lucas Chevalier,€25.00m
Orkun Kökçü,€25.00m
Ramon Hendriks,€25.00m
Igor Jesus,€25.00m
Pedro Gonçalves,€25.00m
Quinten Timber,€25.00m
Mats Wieffer,€25.00m
Joey Veerman,€25.00m
Nicolas Seiwald,€25.00m
Vitaliy Mykolenko,€25.00m
Exequiel Palacios,€25.00m
Marcus Tavernier,€25.00m
Moussa Diaby,€25.00m
Yoane Wissa,€25.00m
Richarlison,€25.00m
Julian Ryerson,€25.00m
Loïs Openda,€25.00m
Mikel Oyarzabal,€25.00m
Noah Okafor,€25.00m
Mason Mount,€25.00m
Christopher Nkunku,€25.00m
Mikel Merino,€25.00m
Denis Zakaria,€25.00m
Joelinton,€25.00m
Sander Berge,€25.00m
Tyler Adams,€25.00m
Justin Kluivert,€25.00m
Ollie Watkins,€25.00m
Denzel Dumfries,€25.00m
David Raum,€25.00m
Gianluca Scamacca,€25.00m
Harry Wilson,€25.00m
Manuel Locatelli,€25.00m
Rúben Neves,€25.00m
Luiz Henrique,€24.00m
Yuito Suzuki,€24.00m
Christ Inao Oulaï,€23.00m
Anan Khalaili,€23.00m
Anis Hadj Moussa,€23.00m
Neil El Aynaoui,€23.00m
Raphael Onyedika,€23.00m
Wilfried Singo,€23.00m
